"PC","Variance"
776,8.9271513943911e-05
777,8.91133594046154e-05
778,8.87123594796258e-05
779,8.86159502195531e-05
780,8.80326343139085e-05
781,8.77004406764151e-05
782,8.73776678807283e-05
783,8.72015623327749e-05
784,8.69214853465872e-05
785,8.65948332615623e-05
786,8.63769473746076e-05
787,8.62758281360992e-05
788,8.58316216520278e-05
789,8.5580174132424e-05
790,8.52720896501728e-05
791,8.49554557829405e-05
792,8.48132212491659e-05
793,8.45586712915236e-05
794,8.40237988880465e-05
795,8.36968802528266e-05
796,8.34625261233436e-05
797,8.31344793300035e-05
798,8.30293224677291e-05
799,8.26948169781808e-05
800,8.25890992351557e-05
801,8.22905887304517e-05
802,8.20672150554077e-05
803,8.15510930591911e-05
804,8.15162344829188e-05
805,8.11709850645096e-05
806,8.06597570970607e-05
807,8.03778493750172e-05
808,7.99589960024616e-05
809,7.95866576379064e-05
810,7.95262433994598e-05
811,7.91659301732689e-05
812,7.87893228868036e-05
813,7.87307857094162e-05
814,7.82396880311484e-05
815,7.81101564936159e-05
816,7.76844512825032e-05
817,7.72293416820641e-05
818,7.70421012712009e-05
819,7.6970698276256e-05
820,7.67195532723181e-05
821,7.66495791430586e-05
822,7.6464591159193e-05
823,7.62252563063222e-05
824,7.59731841565245e-05
825,7.58727894158221e-05
826,7.574224552491e-05
827,7.51728763510559e-05
828,7.50943958962161e-05
829,7.4838776798711e-05
830,7.43142664929872e-05
831,7.4088384668595e-05
832,7.40093423431424e-05
833,7.35662460005788e-05
834,7.32326514329413e-05
835,7.28132072442998e-05
836,7.27807310373477e-05
837,7.22943019477176e-05
838,7.22068533867792e-05
839,7.1851201047551e-05
840,7.17149123640162e-05
841,7.15405310220816e-05
842,7.12353953459551e-05
843,7.09818281798444e-05
844,7.09289520847001e-05
845,7.05765392381174e-05
846,7.02501730337572e-05
847,6.99127563304083e-05
848,6.9692163178055e-05
849,6.96314898604954e-05
850,6.93344565037441e-05
851,6.91852173515174e-05
852,6.88161365664636e-05
853,6.85302855520586e-05
854,6.84747676624146e-05
855,6.79222842497312e-05
856,6.77115326676564e-05
857,6.76380328000301e-05
858,6.74333835589244e-05
859,6.71401473244066e-05
860,6.69954798196956e-05
861,6.68030321012035e-05
862,6.67267609762943e-05
863,6.61183551276561e-05
864,6.5964650444928e-05
865,6.59364510836063e-05
866,6.55550678206137e-05
867,6.53030404836406e-05
868,6.52365269416238e-05
869,6.50459889681941e-05
870,6.47737529883723e-05
871,6.44197441869935e-05
872,6.43141358897076e-05
873,6.42201138513498e-05
874,6.37778793243886e-05
875,6.35578325341392e-05
876,6.34037428590798e-05
877,6.33124934307371e-05
878,6.32169896987097e-05
879,6.26946529632397e-05
