"PC1","PC2","PC3","System","Type"
-364.496976046,67.2375457939515,8.45331962253737,"AZD5305","Unknown"
-376.710978466176,62.9191691857846,13.3613828184381,"AZD5305","Unknown"
-386.165273468201,71.8394816078591,2.36462946497508,"AZD5305","Unknown"
-378.137220119025,69.7477488003205,2.15741233164399,"AZD5305","Unknown"
-370.786979964718,85.4517785347033,24.6928033109549,"AZD5305","Unknown"
-365.05605572887,93.4461697907314,30.1575796539751,"AZD5305","Unknown"
-355.784346452063,101.159476870171,37.2914533215387,"AZD5305","Unknown"
-354.688912178871,91.4709044451965,35.5073839544745,"AZD5305","Unknown"
-352.31032160912,110.767383177631,35.6829562694753,"AZD5305","Unknown"
-357.829179471687,89.6622831866396,41.509614315797,"AZD5305","Unknown"
-371.72275640438,85.4786518011639,27.0709466305201,"AZD5305","Unknown"
-366.266869015071,98.9334148768579,36.879188809323,"AZD5305","Unknown"
-374.7003107982,85.8924362851747,43.5659036338194,"AZD5305","Unknown"
-388.791684661928,82.9984232388083,28.298498338604,"AZD5305","Unknown"
-408.124343112237,68.959810450691,32.7955201256323,"AZD5305","Unknown"
-413.653810560604,83.7693560973085,39.6047134335277,"AZD5305","Unknown"
-406.850581122371,75.170668509871,41.3816953676553,"AZD5305","Unknown"
-413.486330458683,69.5918570789129,59.7401686875314,"AZD5305","Unknown"
-418.675718918859,75.1766206634735,74.2014610567759,"AZD5305","Unknown"
-430.576338598401,71.3986018819375,78.471176502308,"AZD5305","Unknown"
-428.764353451022,87.7710229878414,73.7916751816586,"AZD5305","Unknown"
-426.006690529148,107.302013615707,64.3474774231126,"AZD5305","Unknown"
-443.692879930897,124.692543058542,52.1086815303896,"AZD5305","Unknown"
-452.363598098526,115.160034729386,44.6008221363541,"AZD5305","Unknown"
-451.155365596567,116.28670808634,53.9617927743971,"AZD5305","Unknown"
-459.950860221892,115.335142757494,51.88001207996,"AZD5305","Unknown"
-444.580867603727,101.856461328538,35.8266894371191,"AZD5305","Unknown"
-441.87987690182,103.197376635971,34.942558474401,"AZD5305","Unknown"
-435.388025134859,112.885440212316,38.061251134016,"AZD5305","Unknown"
-426.394869548801,111.821122130143,40.7232628532663,"AZD5305","Unknown"
-440.391303798458,127.971658438147,44.0869817861172,"AZD5305","Unknown"
-435.074094414591,126.855706675269,28.9384581992255,"AZD5305","Unknown"
-426.377535492621,117.666427664859,27.0062449537625,"AZD5305","Unknown"
-443.650787469108,111.608224317319,12.6505879017949,"AZD5305","Unknown"
